product_id	sku	category_name	unit_cost	list_price	is_below_cost
10071	OAK-NAV-1897	Navigation	96.00	159.99	0
10072	OAK-CAR-6127	Carabiners & Hardware	139.74	254.99	0
10073	OAK-PAD-3511	Paddles & PFDs	127.00	248.99	0
10074	OAK-HIK-2007	Hiking Boots	31.68	64.99	0
10075	OAK-NAV-2204	Navigation	84.23	163.99	0
10076	OAK-NAV-4468	Navigation	4.97	10.99	0
10077	OAK-TEN-5800	Tents	190.97	352.99	0
10078	SKU143467	Camp Kitchen	30.98	62.99	0
10079	OAK-TRA-1784	Trail Runners	137.83	278.99	0
10080	OAK-WAT-4569	Water Bottles	165.57	312.99	0
10081	OAK-CAM-3196	Camp Kitchen	25.68	60.99	0
10082	SKU908998	Base Layers	145.98	324.99	0
10083	OAK-BAS-7286	Base Layers	17.87	32.99	0
10084	OAK-WAT-2139	Water Bottles	109.14	195.99	0
10085	OAK-CAR-6430	Carabiners & Hardware	102.78	182.99	0
10086	OAK-WAT-2473	Water Bottles	9.13	20.99	0
10087	OAK-TRE-8772	Trekking Poles	139.55	306.99	0
10088	OAK-BAS-5160	Base Layers	62.66	123.99	0
10089	OAK-SLE-8698	Sleeping Bags	13.07	28.99	0
10090	OAK-CAM-6180	Camp Kitchen	216.07	348.99	0
10091	OAK-CAM-7115	Camp Kitchen	214.91	478.99	0
10092	OAK-TRE-0135	Trekking Poles	155.89	287.99	0
10093	OAK-HIK-1547	Hiking Boots	101.37	190.99	0
10094	OAK-TRE-9820	Trekking Poles	176.65	305.99	0
10095	OAK-PAD-5241	Paddles & PFDs	22.70	47.99	0
10096	OAK-JAC-0623	Jackets	184.72	301.99	0
10097	OAK-BAS-6556	Base Layers	232.53	473.99	0
10098	OAK-CAR-9544	Carabiners & Hardware	100.21	192.99	0
10099	OAK-KAY-2568	Kayaks	40.04	89.99	0
10100	OAK-TRE-6839	Trekking Poles	210.81	365.99	0
10101	OAK-WAT-3554	Water Bottles	128.41	229.99	0
10102	OAK-TRA-0100	Trail Runners	125.63	288.99	0
10103	OAK-TRA-6684	Trail Runners	111.66	181.99	0
10104	OAK-ROP-7969	Ropes & Harnesses	94.77	174.99	0
10105	OAK-BAC-0435	Backpacks	121.81	257.99	0
10106	OAK-SKI-5139	Skis & Snowboards	174.96	300.99	0
10107	OAK-BAC-2508	Backpacks	5.58	11.99	0
10108	OAK-SLE-8696	Sleeping Bags	200.52	324.99	0
10109	SKU795683	Navigation	90.69	198.99	0
10110	OAK-CAM-8089	Camp Kitchen	62.07	136.99	0
10111	SKU736767	Sleeping Bags	196.89	428.99	0
10112	OAK-CAM-8833	Camp Kitchen	188.02	149.99	1
10113	OAK-KAY-6433	Kayaks	156.48	275.99	0
10114	OAK-JAC-9933	Jackets	146.95	284.99	0
10115	OAK-CAM-3396	Camp Kitchen	140.98	281.99	0
10116	OAK-CAM-8794	Camp Kitchen	79.94	151.99	0
10117	OAK-HIK-3410	Hiking Boots	18.26	36.99	0
10118	OAK-TRA-9608	Trail Runners	23.22	53.99	0
10119	OAK-PAD-5685	Paddles & PFDs	157.34	355.99	0
10120	OAK-BAS-9449	Base Layers	38.69	87.99	0
10121	SKU712350	Jackets	210.70	465.99	0
10122	OAK-WAT-0534	Water Bottles	237.35	462.99	0
10123	OAK-BAS-7557	Base Layers	145.75	304.99	0
10124	OAK-TEN-6293	Tents	183.22	352.99	0
10125	OAK-ROP-2640	Ropes & Harnesses	74.62	167.99	0
10126	OAK-NAV-0554	Navigation	167.44	391.99	0
10127	OAK-NAV-1884	Navigation	80.23	135.99	0
10128	OAK-TRA-1794	Trail Runners	175.88	362.99	0
10129	OAK-CAR-2263	Carabiners & Hardware	117.82	197.99	0
10130	OAK-SLE-8112	Sleeping Bags	131.03	259.99	0
10131	SKU874426	Ropes & Harnesses	160.56	269.99	0
10132	OAK-PAD-2918	Paddles & PFDs	156.39	268.99	0
10133	SKU114243	Sleeping Bags	237.95	443.99	0
10134	OAK-JAC-8304	Jackets	185.28	397.99	0
10135	OAK-HIK-1426	Hiking Boots	209.80	441.99	0
10136	OAK-CAR-9110	Carabiners & Hardware	162.23	284.99	0
10137	OAK-BAS-9124	Base Layers	20.27	43.99	0
10138	OAK-JAC-8947	Jackets	193.55	340.99	0
10139	OAK-BAC-0437	Backpacks	214.40	361.99	0
10140	OAK-KAY-0574	Kayaks	130.59	277.99	0
10141	OAK-TEN-5834	Tents	37.74	67.99	0
10142	OAK-TRA-6343	Trail Runners	223.57	524.99	0
10143	OAK-WAT-9859	Water Bottles	121.09	251.99	0
10144	OAK-TEN-1093	Tents	235.06	479.99	0
10145	OAK-BAC-5001	Backpacks	138.05	227.99	0
10146	OAK-TRA-9396	Trail Runners	224.27	388.99	0
10147	OAK-CAM-4733	Camp Kitchen	170.11	324.99	0
10148	OAK-TRE-6006	Trekking Poles	109.79	193.99	0
10149	OAK-NAV-3005	Navigation	146.64	270.99	0
10150	OAK-WAT-5703	Water Bottles	56.27	97.99	0
10151	SKU032905	Kayaks	90.76	162.99	0
10152	SKU523877	Jackets	21.38	46.99	0
10153	OAK-PAD-5080	Paddles & PFDs	144.13	297.99	0
10154	OAK-ROP-5274	Ropes & Harnesses	4.59	7.99	0
10155	OAK-CAR-7570	Carabiners & Hardware	136.57	232.99	0
10156	OAK-CAM-4481	Camp Kitchen	46.66	36.99	1
10157	OAK-TRA-5485	Trail Runners	183.82	362.99	0
10158	OAK-SLE-2615	Sleeping Bags	185.42	377.99	0
10159	OAK-SKI-9770	Skis & Snowboards	119.17	231.99	0
10160	OAK-KAY-3487	Kayaks	128.88	278.99	0
10161	OAK-TRA-6448	Trail Runners	181.87	357.99	0
10162	OAK-NAV-5867	Navigation	151.79	250.99	0
10163	OAK-SLE-0647	Sleeping Bags	35.15	81.99	0
10164	OAK-ROP-3997	Ropes & Harnesses	239.06	524.99	0
10165	OAK-ROP-3365	Ropes & Harnesses	179.68	430.99	0
10166	OAK-TRA-7769	Trail Runners	91.63	150.99	0
10167	OAK-PAD-7545	Paddles & PFDs	84.47	138.99	0
10168	OAK-TRE-3622	Trekking Poles	104.89	167.99	0
10169	OAK-ROP-9964	Ropes & Harnesses	144.70	304.99	0
10170	OAK-CAR-3213	Carabiners & Hardware	31.44	50.99	0
10171	OAK-CAM-0611	Camp Kitchen	14.12	26.99	0
10172	SKU335275	Tents	50.38	92.99	0
10173	OAK-ROP-7227	Ropes & Harnesses	236.31	399.99	0
10174	OAK-TEN-1539	Tents	112.88	234.99	0
10175	OAK-JAC-1450	Jackets	32.22	69.99	0
10176	OAK-HIK-8754	Hiking Boots	235.80	391.99	0
10177	OAK-JAC-0754	Jackets	129.65	103.99	1
10178	OAK-TRE-4450	Trekking Poles	196.67	433.99	0
10179	OAK-NAV-2157	Navigation	197.67	470.99	0
10180	OAK-JAC-3149	Jackets	111.65	194.99	0
10181	OAK-JAC-6873	Jackets	17.89	36.99	0
10182	OAK-SKI-6737	Skis & Snowboards	149.51	320.99	0
10183	SKU098380	Trekking Poles	113.84	213.99	0
10184	OAK-CAM-0721	Camp Kitchen	102.42	208.99	0
10185	SKU570042	Hiking Boots	15.27	26.99	0
10186	OAK-BAC-6764	Backpacks	181.49	333.99	0
10187	OAK-NAV-2199	Navigation	194.74	346.99	0
10188	OAK-KAY-0436	Kayaks	17.26	30.99	0
10189	OAK-ROP-5303	Ropes & Harnesses	79.31	141.99	0
10190	SKU563673	Skis & Snowboards	20.60	37.99	0
10191	OAK-PAD-1289	Paddles & PFDs	188.74	427.99	0
10192	OAK-HIK-9734	Hiking Boots	14.64	23.99	0
10193	SKU023412	Trekking Poles	27.53	47.99	0
10194	OAK-JAC-6530	Jackets	181.31	406.99	0
10195	OAK-WAT-6694	Water Bottles	154.81	274.99	0
10196	OAK-SLE-0259	Sleeping Bags	202.96	395.99	0
10197	OAK-HIK-9956	Hiking Boots	129.84	240.99	0
10198	SKU487490	Sleeping Bags	189.44	305.99	0
10199	OAK-KAY-1613	Kayaks	141.84	286.99	0
10200	OAK-WAT-4701	Water Bottles	210.26	429.99	0
10201	SKU153883	Trail Runners	88.79	194.99	0
10202	OAK-NAV-8113	Navigation	23.92	46.99	0
10203	OAK-JAC-1223	Jackets	185.35	421.99	0
10204	OAK-ROP-2233	Ropes & Harnesses	173.37	326.99	0
10205	OAK-ROP-1525	Ropes & Harnesses	85.45	189.99	0
10206	OAK-CAR-6580	Carabiners & Hardware	144.21	252.99	0
10207	OAK-BAS-1201	Base Layers	22.82	43.99	0
10208	OAK-JAC-5663	Jackets	179.48	407.99	0
10209	OAK-NAV-2093	Navigation	158.33	365.99	0
10210	OAK-SLE-2877	Sleeping Bags	232.82	514.99	0
10211	OAK-ROP-1837	Ropes & Harnesses	40.32	91.99	0
10212	SKU298673	Navigation	171.75	308.99	0
10213	OAK-CAR-3379	Carabiners & Hardware	48.54	102.99	0
10214	OAK-JAC-8591	Jackets	118.09	266.99	0
10215	OAK-JAC-9140	Jackets	65.49	136.99	0
10216	OAK-SKI-4906	Skis & Snowboards	138.54	287.99	0
10217	OAK-TRE-4738	Trekking Poles	15.32	32.99	0
10218	OAK-JAC-7359	Jackets	115.09	203.99	0
10219	OAK-HIK-5406	Hiking Boots	214.43	373.99	0
10220	OAK-CAM-4223	Camp Kitchen	10.66	19.99	0
10221	OAK-JAC-7239	Jackets	223.33	476.99	0
10222	OAK-KAY-5037	Kayaks	128.27	283.99	0
10223	OAK-SKI-2226	Skis & Snowboards	11.99	24.99	0
10224	OAK-TRE-2601	Trekking Poles	71.92	140.99	0
10225	OAK-BAC-1761	Backpacks	127.66	296.99	0
10226	OAK-BAC-9834	Backpacks	109.00	174.99	0
10227	SKU331453	Base Layers	79.15	62.99	1
10228	OAK-HIK-7621	Hiking Boots	8.42	16.99	0
10229	OAK-TRE-2490	Trekking Poles	23.85	48.99	0
10230	OAK-CAM-0646	Camp Kitchen	137.38	279.99	0
10231	SKU904245	Skis & Snowboards	8.10	16.99	0
10232	OAK-CAR-6421	Carabiners & Hardware	10.24	18.99	0
10233	OAK-BAC-0603	Backpacks	127.63	297.99	0
10234	OAK-ROP-3214	Ropes & Harnesses	218.49	503.99	0
10235	OAK-TRE-8552	Trekking Poles	203.76	358.99	0
10236	OAK-JAC-8935	Jackets	129.15	266.99	0
10237	OAK-KAY-4165	Kayaks	223.88	412.99	0
10238	SKU594992	Camp Kitchen	203.58	415.99	0
10239	OAK-HIK-6006	Hiking Boots	79.60	183.99	0
10240	OAK-CAM-7177	Camp Kitchen	125.97	297.99	0
10241	OAK-KAY-4781	Kayaks	190.07	436.99	0
10242	OAK-HIK-5240	Hiking Boots	212.48	474.99	0
10243	OAK-JAC-2678	Jackets	176.18	361.99	0
10244	OAK-ROP-4381	Ropes & Harnesses	209.65	439.99	0
10245	OAK-TEN-6853	Tents	38.28	74.99	0
10246	OAK-TRA-8775	Trail Runners	93.25	216.99	0
10247	SKU501782	Backpacks	119.83	257.99	0
10248	OAK-PAD-7211	Paddles & PFDs	141.61	326.99	0
10249	OAK-PAD-3772	Paddles & PFDs	130.89	247.99	0
10250	OAK-SLE-9693	Sleeping Bags	101.56	187.99	0
10251	OAK-KAY-5327	Kayaks	159.98	379.99	0
10252	OAK-SLE-5725	Sleeping Bags	52.24	91.99	0
10253	OAK-SLE-0260	Sleeping Bags	197.26	335.99	0
10254	OAK-CAM-3212	Camp Kitchen	27.44	63.99	0
10255	OAK-HIK-2034	Hiking Boots	67.87	123.99	0
10256	OAK-TRA-3290	Trail Runners	92.71	154.99	0
10257	OAK-ROP-1040	Ropes & Harnesses	193.21	359.99	0
10258	OAK-CAR-1600	Carabiners & Hardware	9.16	17.99	0
10259	SKU148421	Backpacks	18.58	38.99	0
10260	OAK-TRE-6821	Trekking Poles	169.52	399.99	0
10261	OAK-SLE-2258	Sleeping Bags	44.13	87.99	0
10262	OAK-WAT-4741	Water Bottles	149.66	311.99	0
10263	SKU541929	Jackets	173.20	316.99	0
10264	OAK-CAM-6760	Camp Kitchen	13.99	31.99	0
10265	OAK-NAV-9528	Navigation	46.25	104.99	0
10266	OAK-PAD-5379	Paddles & PFDs	121.84	209.99	0
10267	OAK-TRE-4002	Trekking Poles	33.30	76.99	0
10268	SKU366366	Skis & Snowboards	25.20	59.99	0
10269	OAK-HIK-6083	Hiking Boots	151.35	300.99	0
10270	SKU202942	Hiking Boots	186.72	438.99	0
10271	OAK-WAT-7311	Water Bottles	133.23	316.99	0
10272	OAK-CAR-8118	Carabiners & Hardware	238.43	411.99	0
10273	OAK-HIK-3445	Hiking Boots	229.21	372.99	0
10274	OAK-WAT-9464	Water Bottles	72.94	122.99	0
10275	OAK-ROP-1551	Ropes & Harnesses	47.57	92.99	0
10276	OAK-BAC-4140	Backpacks	46.90	95.99	0
10277	OAK-JAC-4756	Jackets	76.76	139.99	0
10278	OAK-JAC-9732	Jackets	22.28	39.99	0
10279	OAK-JAC-1858	Jackets	84.36	186.99	0
10280	OAK-SLE-8109	Sleeping Bags	31.68	61.99	0
10281	OAK-KAY-7804	Kayaks	95.51	225.99	0
10282	OAK-TEN-8568	Tents	57.74	94.99	0
10283	OAK-TRA-7024	Trail Runners	129.14	258.99	0
10284	OAK-BAS-4942	Base Layers	197.55	371.99	0
10285	OAK-KAY-9569	Kayaks	53.21	93.99	0
10286	OAK-BAC-6167	Backpacks	46.46	75.99	0
10287	OAK-TRE-4627	Trekking Poles	114.83	220.99	0
10288	OAK-HIK-0473	Hiking Boots	9.53	19.99	0
10289	OAK-TEN-2763	Tents	188.55	363.99	0
10290	OAK-NAV-8530	Navigation	14.43	34.99	0
10291	OAK-TRE-5331	Trekking Poles	110.06	212.99	0
10292	OAK-SLE-0250	Sleeping Bags	161.44	307.99	0
10293	OAK-TRA-2532	Trail Runners	225.50	375.99	0
10294	OAK-NAV-7172	Navigation	56.14	114.99	0
10295	OAK-TEN-2146	Tents	165.09	288.99	0
10296	OAK-CAR-3351	Carabiners & Hardware	157.97	319.99	0
10297	OAK-SKI-5760	Skis & Snowboards	100.38	170.99	0
10298	OAK-ROP-5033	Ropes & Harnesses	165.71	345.99	0
10299	OAK-BAC-5191	Backpacks	58.88	120.99	0
10300	OAK-ROP-9972	Ropes & Harnesses	36.89	75.99	0
10301	OAK-HIK-6866	Hiking Boots	107.44	205.99	0
10302	OAK-ROP-1705	Ropes & Harnesses	9.60	20.99	0
10303	OAK-TEN-6720	Tents	191.16	315.99	0
10304	OAK-KAY-1894	Kayaks	238.41	442.99	0
10305	OAK-BAC-2899	Backpacks	128.73	232.99	0
10306	SKU870886	Trail Runners	145.01	324.99	0
10307	OAK-WAT-8104	Water Bottles	135.12	276.99	0
10308	OAK-NAV-4425	Navigation	166.27	329.99	0
10309	SKU465512	Camp Kitchen	97.51	175.99	0
10310	OAK-SLE-0549	Sleeping Bags	11.87	26.99	0
10311	OAK-CAM-4819	Camp Kitchen	23.66	47.99	0
10312	SKU431969	Kayaks	182.31	412.99	0
10313	OAK-SLE-4554	Sleeping Bags	200.37	380.99	0
10314	OAK-PAD-1675	Paddles & PFDs	78.01	139.99	0
10315	OAK-SLE-0007	Sleeping Bags	217.87	522.99	0
10316	OAK-KAY-5134	Kayaks	61.33	113.99	0
10317	OAK-TRA-3795	Trail Runners	186.16	310.99	0
10318	OAK-TRE-5284	Trekking Poles	148.21	273.99	0
10319	OAK-BAS-3735	Base Layers	61.61	108.99	0
10320	OAK-SLE-1039	Sleeping Bags	13.46	28.99	0
10321	OAK-TRE-2278	Trekking Poles	216.20	426.99	0
10322	OAK-SLE-8179	Sleeping Bags	199.65	344.99	0
10323	SKU562338	Water Bottles	159.47	376.99	0
10324	OAK-CAR-4893	Carabiners & Hardware	85.71	194.99	0
10325	OAK-TRE-3681	Trekking Poles	138.56	313.99	0
10326	OAK-JAC-5773	Jackets	164.54	303.99	0
10327	OAK-TRE-9723	Trekking Poles	99.77	164.99	0
10328	OAK-SKI-6510	Skis & Snowboards	203.11	352.99	0
10329	OAK-SKI-3392	Skis & Snowboards	144.11	342.99	0
10330	OAK-BAC-0524	Backpacks	83.46	151.99	0
10331	OAK-JAC-0123	Jackets	130.90	210.99	0
10332	OAK-BAC-3472	Backpacks	33.91	74.99	0
10333	OAK-SKI-0836	Skis & Snowboards	103.99	181.99	0
10334	OAK-TRE-9620	Trekking Poles	192.36	316.99	0
10335	OAK-WAT-4643	Water Bottles	212.89	451.99	0
10336	OAK-BAS-0449	Base Layers	89.25	211.99	0
10337	OAK-PAD-4336	Paddles & PFDs	226.83	535.99	0
10338	OAK-TEN-5737	Tents	49.19	93.99	0
10339	OAK-BAC-1850	Backpacks	161.07	378.99	0
10340	OAK-TRA-3366	Trail Runners	201.57	323.99	0
10341	OAK-JAC-4237	Jackets	54.82	111.99	0
10342	OAK-KAY-7703	Kayaks	145.22	282.99	0
10343	OAK-TEN-6114	Tents	227.88	447.99	0
10344	OAK-WAT-8552	Water Bottles	90.99	174.99	0
10345	OAK-SLE-7467	Sleeping Bags	224.13	507.99	0
10346	OAK-ROP-7678	Ropes & Harnesses	178.99	301.99	0
10347	OAK-JAC-1481	Jackets	78.14	146.99	0
10348	OAK-SKI-5656	Skis & Snowboards	224.09	523.99	0
10349	OAK-WAT-0170	Water Bottles	207.37	372.99	0
10350	SKU026622	Trekking Poles	146.70	329.99	0
10351	OAK-BAC-3943	Backpacks	78.94	144.99	0
10352	OAK-JAC-0462	Jackets	8.38	15.99	0
10353	OAK-HIK-4299	Hiking Boots	17.22	29.99	0
10354	SKU064950	Camp Kitchen	29.38	67.99	0
10355	OAK-TEN-2558	Tents	154.94	273.99	0
10356	OAK-KAY-3751	Kayaks	23.78	47.99	0
10357	OAK-SLE-7457	Sleeping Bags	117.87	190.99	0
10358	OAK-TRE-2014	Trekking Poles	18.85	38.99	0
10359	OAK-CAR-5699	Carabiners & Hardware	132.85	282.99	0
10360	OAK-HIK-8610	Hiking Boots	214.82	429.99	0
10361	OAK-TRA-5832	Trail Runners	152.91	333.99	0
10362	SKU284437	Backpacks	194.65	387.99	0
10363	OAK-KAY-9498	Kayaks	160.28	285.99	0
10364	OAK-CAM-2516	Camp Kitchen	230.93	462.99	0
10365	OAK-PAD-8528	Paddles & PFDs	100.92	225.99	0
10366	OAK-TRA-6896	Trail Runners	74.08	135.99	0
10367	OAK-HIK-3309	Hiking Boots	212.26	478.99	0
10368	OAK-SLE-2766	Sleeping Bags	204.57	377.99	0
10369	OAK-BAC-0111	Backpacks	133.38	287.99	0
10370	OAK-CAR-1223	Carabiners & Hardware	13.94	29.99	0
10371	OAK-CAR-3533	Carabiners & Hardware	61.80	147.99	0
10372	SKU688127	Kayaks	231.27	500.99	0
10373	OAK-TRE-4053	Trekking Poles	102.59	205.99	0
10374	OAK-CAR-2318	Carabiners & Hardware	55.28	95.99	0
10375	OAK-ROP-4479	Ropes & Harnesses	142.28	302.99	0
10376	OAK-CAR-0392	Carabiners & Hardware	91.97	149.99	0
10377	OAK-SKI-9922	Skis & Snowboards	105.82	214.99	0
10378	OAK-TRA-8058	Trail Runners	102.79	211.99	0
10379	OAK-BAS-1172	Base Layers	158.00	331.99	0
10380	OAK-SLE-1362	Sleeping Bags	20.14	33.99	0
10381	OAK-HIK-7029	Hiking Boots	192.23	414.99	0
10382	OAK-SKI-8375	Skis & Snowboards	206.78	445.99	0
10383	OAK-HIK-4884	Hiking Boots	108.22	86.99	1
10384	OAK-TRA-7356	Trail Runners	238.17	503.99	0
10385	OAK-WAT-3765	Water Bottles	208.77	166.99	1
10386	OAK-CAM-2501	Camp Kitchen	65.10	146.99	0
10387	OAK-TRA-3010	Trail Runners	113.29	209.99	0
10388	OAK-TRA-1086	Trail Runners	86.30	167.99	0
10389	OAK-PAD-6969	Paddles & PFDs	77.51	130.99	0
10390	OAK-JAC-2202	Jackets	154.56	250.99	0
10391	OAK-BAS-4608	Base Layers	56.42	100.99	0
10392	OAK-SKI-1458	Skis & Snowboards	93.07	162.99	0
10393	OAK-SLE-2448	Sleeping Bags	7.61	12.99	0
10394	SKU410318	Trail Runners	10.66	18.99	0
10395	OAK-JAC-8221	Jackets	180.86	363.99	0
10396	OAK-TEN-8696	Tents	152.92	333.99	0
10397	OAK-PAD-4892	Paddles & PFDs	208.71	347.99	0
10398	OAK-KAY-6113	Kayaks	224.26	503.99	0
10399	OAK-PAD-1937	Paddles & PFDs	157.41	352.99	0
10400	OAK-CAM-9991	Camp Kitchen	204.64	451.99	0
10401	OAK-HIK-1668	Hiking Boots	97.82	211.99	0
10402	OAK-SKI-7405	Skis & Snowboards	211.56	386.99	0
10403	OAK-KAY-8190	Kayaks	51.45	88.99	0
10404	OAK-WAT-3338	Water Bottles	132.00	231.99	0
10405	OAK-SLE-2123	Sleeping Bags	214.29	354.99	0
10406	OAK-CAM-8653	Camp Kitchen	108.28	192.99	0
10407	OAK-BAS-0460	Base Layers	214.53	171.99	1
10408	OAK-SKI-4868	Skis & Snowboards	44.79	94.99	0
10409	OAK-SLE-2188	Sleeping Bags	26.69	58.99	0
10410	OAK-PAD-1996	Paddles & PFDs	207.27	332.99	0
10411	OAK-KAY-5656	Kayaks	62.07	112.99	0
10412	OAK-KAY-1063	Kayaks	63.94	138.99	0
10413	OAK-TRE-7122	Trekking Poles	21.80	48.99	0
10414	OAK-BAC-6078	Backpacks	115.09	267.99	0
10415	OAK-PAD-2404	Paddles & PFDs	61.88	145.99	0
10416	SKU537376	Skis & Snowboards	90.20	167.99	0
10417	OAK-SKI-1723	Skis & Snowboards	141.93	312.99	0
10418	OAK-WAT-4204	Water Bottles	197.95	347.99	0
10419	OAK-BAS-2676	Base Layers	38.31	72.99	0
10420	OAK-BAC-4355	Backpacks	87.39	168.99	0
10421	SKU981341	Hiking Boots	207.07	458.99	0
10422	OAK-CAR-1762	Carabiners & Hardware	220.70	435.99	0
10423	OAK-TRA-0887	Trail Runners	12.10	19.99	0
10424	OAK-CAM-5020	Camp Kitchen	201.00	399.99	0
10425	SKU778089	Water Bottles	176.83	310.99	0
10426	OAK-PAD-7420	Paddles & PFDs	58.10	123.99	0
10427	OAK-SKI-3325	Skis & Snowboards	62.58	144.99	0
10428	OAK-JAC-3039	Jackets	84.04	191.99	0
10429	OAK-CAR-0285	Carabiners & Hardware	9.12	16.99	0
10430	OAK-TEN-4874	Tents	150.24	319.99	0
10431	OAK-BAC-0533	Backpacks	11.96	22.99	0
10432	OAK-PAD-5845	Paddles & PFDs	18.41	33.99	0
10433	SKU387144	Water Bottles	55.55	120.99	0
10434	OAK-NAV-4414	Navigation	158.32	307.99	0
10435	SKU602987	Skis & Snowboards	8.66	16.99	0
10436	SKU725413	Navigation	132.21	246.99	0
10437	OAK-CAM-1108	Camp Kitchen	110.93	250.99	0
10438	OAK-ROP-5512	Ropes & Harnesses	17.21	29.99	0
10439	OAK-WAT-6929	Water Bottles	223.38	466.99	0
10440	OAK-WAT-2075	Water Bottles	237.62	501.99	0
10441	OAK-HIK-5171	Hiking Boots	156.12	349.99	0
10442	OAK-PAD-4891	Paddles & PFDs	210.40	366.99	0
10443	OAK-BAC-0440	Backpacks	79.56	137.99	0
10444	OAK-KAY-7076	Kayaks	236.51	446.99	0
10445	OAK-JAC-2847	Jackets	51.97	101.99	0
10446	OAK-SLE-4509	Sleeping Bags	48.68	82.99	0
10447	OAK-KAY-4276	Kayaks	138.74	312.99	0
10448	OAK-CAR-3080	Carabiners & Hardware	165.38	285.99	0
