sales_month	category_id	category_name	units_sold	gross_revenue
2020-10	12	Backpacks	128	31022.79
2020-10	17	Kayaks	156	33729.12
2020-10	19	Jackets	206	45076.00
2020-11	10	Sleeping Bags	170	40079.87
2020-11	11	Camp Kitchen	200	42114.75
2020-11	12	Backpacks	220	57703.95
2020-11	17	Kayaks	204	44721.13
2020-11	19	Jackets	187	44250.17
2020-12	10	Sleeping Bags	182	41342.81
2020-12	11	Camp Kitchen	192	42779.84
2020-12	12	Backpacks	193	51302.25
2020-12	17	Kayaks	162	32886.50
2020-12	19	Jackets	186	41737.63
2021-01	10	Sleeping Bags	168	36604.82
2021-01	11	Camp Kitchen	150	35725.87
2021-01	12	Backpacks	174	44740.16
2021-01	17	Kayaks	106	21351.99
2021-01	19	Jackets	245	56091.16
2021-02	10	Sleeping Bags	103	21973.23
2021-02	11	Camp Kitchen	169	38406.15
2021-02	12	Backpacks	120	29420.19
2021-02	17	Kayaks	150	42677.67
2021-02	19	Jackets	171	40847.47
2021-03	10	Sleeping Bags	175	38286.52
2021-03	11	Camp Kitchen	152	29739.30
2021-03	12	Backpacks	168	35304.01
2021-03	17	Kayaks	149	34556.22
2021-03	19	Jackets	208	45902.72
2021-04	10	Sleeping Bags	189	44594.08
2021-04	11	Camp Kitchen	246	53150.61
2021-04	12	Backpacks	202	48569.22
2021-04	17	Kayaks	190	45956.75
2021-04	19	Jackets	194	45615.44
2021-05	10	Sleeping Bags	196	49640.14
2021-05	11	Camp Kitchen	237	58632.19
2021-05	12	Backpacks	242	56379.70
2021-05	17	Kayaks	223	54075.48
2021-05	19	Jackets	318	67310.21
2021-06	10	Sleeping Bags	265	55716.29
2021-06	11	Camp Kitchen	240	51682.13
2021-06	12	Backpacks	280	74809.63
2021-06	17	Kayaks	243	61337.73
2021-06	19	Jackets	286	62824.82
2021-07	10	Sleeping Bags	299	55058.67
2021-07	11	Camp Kitchen	298	69987.58
2021-07	12	Backpacks	377	102594.25
2021-07	17	Kayaks	282	72943.28
2021-07	19	Jackets	311	68488.61
2021-08	10	Sleeping Bags	322	78648.06
2021-08	11	Camp Kitchen	257	54228.33
2021-08	12	Backpacks	321	80030.66
2021-08	17	Kayaks	359	88749.67
2021-08	19	Jackets	343	69110.03
2021-09	10	Sleeping Bags	233	50178.86
2021-09	11	Camp Kitchen	225	54904.88
2021-09	12	Backpacks	257	63744.43
2021-09	17	Kayaks	200	47774.60
2021-09	19	Jackets	191	40977.96
2021-10	10	Sleeping Bags	255	60395.45
2021-10	11	Camp Kitchen	210	53219.09
2021-10	12	Backpacks	225	52105.17
2021-10	17	Kayaks	171	40173.60
2021-10	19	Jackets	291	61623.47
2021-11	10	Sleeping Bags	216	46929.79
2021-11	11	Camp Kitchen	237	53526.08
2021-11	12	Backpacks	262	63456.55
2021-11	17	Kayaks	174	37647.40
2021-11	19	Jackets	219	41294.16
2021-12	10	Sleeping Bags	284	61291.76
2021-12	11	Camp Kitchen	291	65946.82
2021-12	12	Backpacks	248	66328.37
2021-12	17	Kayaks	198	48830.07
2021-12	19	Jackets	355	77354.73
2022-01	10	Sleeping Bags	191	47468.80
2022-01	11	Camp Kitchen	210	43166.94
2022-01	12	Backpacks	172	37339.46
2022-01	17	Kayaks	210	47071.12
2022-01	19	Jackets	210	38709.98
2022-02	10	Sleeping Bags	196	51876.96
2022-02	11	Camp Kitchen	184	36970.14
2022-02	12	Backpacks	197	48256.60
2022-02	17	Kayaks	210	49281.24
2022-02	19	Jackets	157	39911.23
2022-03	10	Sleeping Bags	207	47786.37
2022-03	11	Camp Kitchen	232	46790.53
2022-03	12	Backpacks	226	55921.36
2022-03	17	Kayaks	171	38167.55
2022-03	19	Jackets	299	73991.15
2022-04	10	Sleeping Bags	198	47148.05
2022-04	11	Camp Kitchen	190	50471.74
2022-04	12	Backpacks	220	58681.67
2022-04	17	Kayaks	231	53233.36
2022-04	19	Jackets	266	62475.15
2022-05	10	Sleeping Bags	259	57238.13
2022-05	11	Camp Kitchen	342	80374.54
2022-05	12	Backpacks	296	70651.25
2022-05	17	Kayaks	289	62912.56
2022-05	19	Jackets	327	72180.13
2022-06	10	Sleeping Bags	286	76572.60
2022-06	11	Camp Kitchen	330	74840.64
2022-06	12	Backpacks	287	76628.14
2022-06	17	Kayaks	355	84515.58
2022-06	19	Jackets	340	79960.23
2022-07	10	Sleeping Bags	244	66866.13
2022-07	11	Camp Kitchen	411	93345.23
2022-07	12	Backpacks	413	100306.43
2022-07	17	Kayaks	357	88761.46
2022-07	19	Jackets	420	97289.37
2022-08	10	Sleeping Bags	345	77345.29
2022-08	11	Camp Kitchen	361	81895.36
2022-08	12	Backpacks	371	96479.24
2022-08	17	Kayaks	274	68698.73
2022-08	19	Jackets	417	90232.03
2022-09	10	Sleeping Bags	244	60752.23
2022-09	11	Camp Kitchen	238	49771.36
2022-09	12	Backpacks	311	75112.34
2022-09	17	Kayaks	265	67817.44
2022-09	19	Jackets	310	71946.62
2022-10	10	Sleeping Bags	244	57922.25
2022-10	11	Camp Kitchen	261	57039.84
2022-10	12	Backpacks	190	46301.44
2022-10	17	Kayaks	228	48330.52
2022-10	19	Jackets	308	65006.29
2022-11	10	Sleeping Bags	316	71041.04
2022-11	11	Camp Kitchen	298	61534.99
2022-11	12	Backpacks	328	75771.25
2022-11	17	Kayaks	245	62386.89
2022-11	19	Jackets	353	73180.38
2022-12	10	Sleeping Bags	390	81555.10
2022-12	11	Camp Kitchen	373	72963.17
2022-12	12	Backpacks	345	74577.61
2022-12	17	Kayaks	300	66450.92
2022-12	19	Jackets	398	81135.39
2023-01	10	Sleeping Bags	189	45048.39
2023-01	11	Camp Kitchen	221	47598.80
2023-01	12	Backpacks	234	55285.01
2023-01	17	Kayaks	234	55799.95
2023-01	19	Jackets	260	60267.95
2023-02	10	Sleeping Bags	168	45393.73
2023-02	11	Camp Kitchen	212	48039.56
2023-02	12	Backpacks	181	42852.39
2023-02	17	Kayaks	191	48768.92
2023-02	19	Jackets	178	40782.09
2023-03	10	Sleeping Bags	209	51600.44
2023-03	11	Camp Kitchen	308	75559.26
2023-03	12	Backpacks	272	66039.63
2023-03	17	Kayaks	223	51876.45
2023-03	19	Jackets	268	62575.29
2023-04	10	Sleeping Bags	247	64075.12
2023-04	11	Camp Kitchen	288	62253.41
2023-04	12	Backpacks	299	74592.29
2023-04	17	Kayaks	328	81294.87
2023-04	19	Jackets	278	60573.10
2023-05	10	Sleeping Bags	246	62579.87
2023-05	11	Camp Kitchen	334	83547.13
2023-05	12	Backpacks	274	65045.62
2023-05	17	Kayaks	306	81879.94
2023-05	19	Jackets	288	65548.37
2023-06	10	Sleeping Bags	353	80110.12
2023-06	11	Camp Kitchen	368	78135.73
2023-06	12	Backpacks	424	100472.98
2023-06	17	Kayaks	400	103148.36
2023-06	19	Jackets	375	87590.69
2023-07	10	Sleeping Bags	355	81661.36
2023-07	11	Camp Kitchen	484	101675.81
2023-07	12	Backpacks	430	101519.36
2023-07	17	Kayaks	507	122630.34
2023-07	19	Jackets	479	107483.71
2023-08	10	Sleeping Bags	400	94163.75
2023-08	11	Camp Kitchen	390	88760.58
2023-08	12	Backpacks	366	88204.48
2023-08	17	Kayaks	420	101247.12
2023-08	19	Jackets	431	97999.34
2023-09	10	Sleeping Bags	315	69465.30
2023-09	11	Camp Kitchen	322	67678.06
2023-09	12	Backpacks	281	56272.58
2023-09	17	Kayaks	291	74791.97
2023-09	19	Jackets	352	77511.33
2023-10	10	Sleeping Bags	260	64213.43
2023-10	11	Camp Kitchen	254	59614.15
2023-10	12	Backpacks	278	58613.67
2023-10	17	Kayaks	222	54468.32
2023-10	19	Jackets	389	94126.17
2023-11	10	Sleeping Bags	340	79989.44
2023-11	11	Camp Kitchen	338	76083.53
2023-11	12	Backpacks	326	81598.12
2023-11	17	Kayaks	316	76098.34
2023-11	19	Jackets	315	67869.71
2023-12	10	Sleeping Bags	398	93048.10
2023-12	11	Camp Kitchen	352	90693.72
2023-12	12	Backpacks	357	84218.91
2023-12	17	Kayaks	362	87592.89
2023-12	19	Jackets	341	80898.04
2024-01	10	Sleeping Bags	326	73880.69
2024-01	11	Camp Kitchen	207	55381.14
2024-01	12	Backpacks	235	56224.43
2024-01	17	Kayaks	243	59582.41
2024-01	19	Jackets	302	72650.66
2024-02	10	Sleeping Bags	163	38945.59
2024-02	11	Camp Kitchen	257	52856.46
2024-02	12	Backpacks	252	60214.28
2024-02	17	Kayaks	202	55350.83
2024-02	19	Jackets	256	53375.04
2024-03	10	Sleeping Bags	245	50614.63
2024-03	11	Camp Kitchen	299	64823.31
2024-03	12	Backpacks	314	83121.12
2024-03	17	Kayaks	305	68820.61
2024-03	19	Jackets	341	76441.38
2024-04	10	Sleeping Bags	225	55280.00
2024-04	11	Camp Kitchen	306	71235.43
2024-04	12	Backpacks	329	87090.35
2024-04	17	Kayaks	290	63318.85
2024-04	19	Jackets	358	84572.20
2024-05	10	Sleeping Bags	324	79269.57
2024-05	11	Camp Kitchen	352	71615.74
2024-05	12	Backpacks	470	117229.74
2024-05	17	Kayaks	325	72024.38
2024-05	19	Jackets	432	91691.99
2024-06	10	Sleeping Bags	410	92462.92
2024-06	11	Camp Kitchen	376	83131.06
2024-06	12	Backpacks	462	112228.28
2024-06	17	Kayaks	331	83329.39
2024-06	19	Jackets	467	95894.96
2024-07	10	Sleeping Bags	401	97285.96
2024-07	11	Camp Kitchen	553	124529.52
2024-07	12	Backpacks	479	109369.74
2024-07	17	Kayaks	492	122646.53
2024-07	19	Jackets	535	111853.17
2024-08	10	Sleeping Bags	383	95797.14
2024-08	11	Camp Kitchen	418	98677.77
2024-08	12	Backpacks	466	114052.84
2024-08	17	Kayaks	453	103981.70
2024-08	19	Jackets	546	120721.89
2024-09	10	Sleeping Bags	314	77826.17
2024-09	11	Camp Kitchen	407	88082.63
2024-09	12	Backpacks	301	76680.94
2024-09	17	Kayaks	323	85177.47
2024-09	19	Jackets	401	96496.62
2024-10	10	Sleeping Bags	295	73316.13
2024-10	11	Camp Kitchen	303	70150.65
2024-10	12	Backpacks	291	62946.65
2024-10	17	Kayaks	312	71200.71
2024-10	19	Jackets	266	62225.21
2024-11	10	Sleeping Bags	356	87250.69
2024-11	11	Camp Kitchen	463	101831.84
2024-11	12	Backpacks	397	100456.70
2024-11	17	Kayaks	375	101262.36
2024-11	19	Jackets	401	82398.76
2024-12	10	Sleeping Bags	418	94691.41
2024-12	11	Camp Kitchen	541	117761.75
2024-12	12	Backpacks	535	122865.91
2024-12	17	Kayaks	396	93175.61
2024-12	19	Jackets	512	112148.49
2025-01	10	Sleeping Bags	210	45483.37
2025-01	11	Camp Kitchen	270	68096.16
2025-01	12	Backpacks	210	50272.39
2025-01	17	Kayaks	172	36629.57
2025-01	19	Jackets	261	57051.97
2025-02	10	Sleeping Bags	181	36732.41
2025-02	11	Camp Kitchen	250	59507.10
2025-02	12	Backpacks	237	56136.19
2025-02	17	Kayaks	211	51820.05
2025-02	19	Jackets	238	55582.51
2025-03	10	Sleeping Bags	296	61391.61
2025-03	11	Camp Kitchen	311	63588.35
2025-03	12	Backpacks	327	71937.21
2025-03	17	Kayaks	318	70165.57
2025-03	19	Jackets	352	75922.71
2025-04	10	Sleeping Bags	196	47031.89
2025-04	11	Camp Kitchen	352	75096.97
2025-04	12	Backpacks	393	101200.71
2025-04	17	Kayaks	263	63376.35
2025-04	19	Jackets	333	73941.77
2025-05	10	Sleeping Bags	459	108119.72
2025-05	11	Camp Kitchen	499	122252.74
2025-05	12	Backpacks	407	94932.34
2025-05	17	Kayaks	473	119370.21
2025-05	19	Jackets	493	115286.96
2025-06	10	Sleeping Bags	437	91707.36
2025-06	11	Camp Kitchen	395	100455.13
2025-06	12	Backpacks	532	118549.08
2025-06	17	Kayaks	425	108584.37
2025-06	19	Jackets	429	102929.37
2025-07	10	Sleeping Bags	497	111287.90
2025-07	11	Camp Kitchen	527	108110.51
2025-07	12	Backpacks	525	119172.55
2025-07	17	Kayaks	471	117997.20
2025-07	19	Jackets	516	115303.05
2025-08	10	Sleeping Bags	554	112814.60
2025-08	11	Camp Kitchen	546	128378.07
2025-08	12	Backpacks	522	117220.15
2025-08	17	Kayaks	470	109021.58
2025-08	19	Jackets	582	116690.23
2025-09	10	Sleeping Bags	402	106091.22
2025-09	11	Camp Kitchen	384	92180.41
2025-09	12	Backpacks	404	93426.59
2025-09	17	Kayaks	440	114591.15
2025-09	19	Jackets	443	100449.40
2025-10	10	Sleeping Bags	329	75242.87
2025-10	11	Camp Kitchen	310	70318.92
2025-10	12	Backpacks	428	107105.14
2025-10	17	Kayaks	358	95740.82
2025-10	19	Jackets	358	78995.93
2025-11	10	Sleeping Bags	349	76029.43
2025-11	11	Camp Kitchen	450	107541.18
2025-11	12	Backpacks	498	126753.68
2025-11	17	Kayaks	423	99784.04
2025-11	19	Jackets	494	105501.24
2025-12	10	Sleeping Bags	497	118862.23
2025-12	11	Camp Kitchen	469	103831.44
2025-12	12	Backpacks	431	104710.78
2025-12	17	Kayaks	469	118930.20
2025-12	19	Jackets	446	103929.44
2026-01	10	Sleeping Bags	291	65356.84
2026-01	11	Camp Kitchen	271	63511.47
2026-01	12	Backpacks	265	62093.93
2026-01	17	Kayaks	294	69271.67
2026-01	19	Jackets	311	68712.00
2026-02	10	Sleeping Bags	229	52322.33
2026-02	11	Camp Kitchen	288	67427.02
2026-02	12	Backpacks	236	56898.74
2026-02	17	Kayaks	257	57239.38
2026-02	19	Jackets	278	59589.43
2026-03	10	Sleeping Bags	338	72977.93
2026-03	11	Camp Kitchen	382	88369.83
2026-03	12	Backpacks	445	103593.37
2026-03	17	Kayaks	336	78999.82
2026-03	19	Jackets	377	82084.55
2026-04	10	Sleeping Bags	351	82555.97
2026-04	11	Camp Kitchen	362	83820.89
2026-04	12	Backpacks	387	97883.77
2026-04	17	Kayaks	316	79683.12
2026-04	19	Jackets	384	90963.01
2026-05	10	Sleeping Bags	464	106445.12
2026-05	11	Camp Kitchen	426	96931.67
2026-05	12	Backpacks	420	109836.60
2026-05	17	Kayaks	452	113333.83
2026-05	19	Jackets	467	94018.27
2026-06	10	Sleeping Bags	563	137609.87
2026-06	11	Camp Kitchen	550	122683.29
2026-06	12	Backpacks	530	125001.95
2026-06	17	Kayaks	522	125174.20
2026-06	19	Jackets	529	114174.95
